smiles	nsc	level1	level2	level3	level4	level5	level6
CC(=O)NC(CCCCNCc1ccccc1)C(=O)NCc2ccccc2	643531	c1ccccc1	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2
CNC(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1	643532	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CCCN(CCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)NC	643533	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CNC(=O)N(CCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc2ccccc2	643534	c1ccccc1	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCNCc1ccccc1)NCc2ccccc2
CCCN(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)NC	643539	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CNC(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc2ccccc2	643540	c1ccccc1	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2	O=C(CCCCCNCc1ccccc1)NCc2ccccc2
NNC(=O)c1ccc(N(CCC#N)CCC#N)cc1	643587	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1	c1ccccc1
CC3=NN(C(=O)CC(=O)N(C(=O)c1ccccc1Cl)c2ccc(C)cc2)C(=O)C3N=Nc4ccc(N(=O)=O)cc4	643588	c1ccccc1	O=C(Nc1ccccc1)c2ccccc2	O=C1CC=NN1C(=O)CC(=O)N(C(=O)c2ccccc2)c3ccccc3	O=C(CC(=O)N(C(=O)c1ccccc1)c2ccccc2)N4N=CC(N=Nc3ccccc3)C4=O	O=C(CC(=O)N(C(=O)c1ccccc1)c2ccccc2)N4N=CC(N=Nc3ccccc3)C4=O	O=C(CC(=O)N(C(=O)c1ccccc1)c2ccccc2)N4N=CC(N=Nc3ccccc3)C4=O
CC2=NN(C(=O)CC(=O)NC(=O)CC(=O)Nc1ccccc1F)C(=O)C2N=Nc3ccc(N(=O)=O)cc3	643589	O=C1CC=NN1	O=C1NN=CC1N=Nc2ccccc2	O=C(CC(=O)Nc1ccccc1)NC(=O)CC(=O)N3N=CC(N=Nc2ccccc2)C3=O	O=C(CC(=O)Nc1ccccc1)NC(=O)CC(=O)N3N=CC(N=Nc2ccccc2)C3=O	O=C(CC(=O)Nc1ccccc1)NC(=O)CC(=O)N3N=CC(N=Nc2ccccc2)C3=O	O=C(CC(=O)Nc1ccccc1)NC(=O)CC(=O)N3N=CC(N=Nc2ccccc2)C3=O
Cc5ccc(N(C(=O)CC(=O)N3N=C(c1ccccc1)C(N=Nc2ccc(N(=O)=O)cc2)C3=O)C(=O)c4ccc(Cl)cc4)cc5	643590	O=C1CC=NN1	O=C2CC(c1ccccc1)=NN2	O=C(CC(=O)N2N=C(c1ccccc1)CC2=O)Nc3ccccc3	O=C(CC(=O)N(C(=O)c1ccccc1)c2ccccc2)N4N=C(c3ccccc3)CC4=O	O=C(CC(=O)N(C(=O)c1ccccc1)c2ccccc2)N5N=C(c3ccccc3)C(N=Nc4ccccc4)C5=O	O=C(CC(=O)N(C(=O)c1ccccc1)c2ccccc2)N5N=C(c3ccccc3)C(N=Nc4ccccc4)C5=O
